feature,importance
9_K,0.32455684974121046
18_v,0.3242053956150712
15_S,0.3238212868447984
21_W,0.3228811554916844
5_u,0.3208536419972362
28_L,0.32027098284946937
4_a,0.3193390728095482
23_v,0.3188635434371065
24_S,0.3186075479662988
11_M,0.31806772229984864
1_O,0.3155476922831998
27_k,0.31420664915515484
20_u,0.31386244995581475
26_I,0.3132105602828929
21_o,0.31169113941082965
21_wrong input,0.31022325099722653
4_L,0.3082861213192821
2_t,0.30768065916756954
22_v,0.30682104563337703
24_missing,0.30681793231118837
1_a,0.30536641557122485
6_U,0.30512368088341146
15_P,0.30414425938866824
2_R,0.30366156917679216
18_U,0.29995115598339184
8_wrong input,0.29945724928093453
26_t,0.2989848470901533
11_B,0.2984932745252254
3_f,0.297965125999325
9_x,0.29751836953213606
6_T,0.2973965948201833
0_V,0.2957981285689575
9_Q,0.2946363816259718
21_h,0.29293405344552154
6_D,0.29258866474673473
25_l,0.2918559557100537
1_B,0.29180898198032224
12_F,0.29133701975677234
27_e,0.29058326866894174
1_P,0.2874702153878949
24_R,0.28681942418264317
8_language failed,0.28680271711239425
21_M,0.28430816705599304
4_c,0.2842750846977198
13_h,0.28364463376255955
17_H,0.2834047061959733
11_t,0.2833816257293565
3_Q,0.282510012520639
17_h,0.2820058381489559
15_c,0.28014854498908315
5_e,0.2795613615467944
21_q,0.2795202754567212
25_C,0.2780845546211683
3_q,0.2778397576805499
22_O,0.27746537537411253
tfidf_16,0.2762162501592138
11_c,0.27588288830633784
3_y,0.275392458805701
25_k,0.2750269999135932
28_k,0.274831123935819
18_p,0.27437008302441157
20_g,0.273895609093336
14_IIII,0.27336099471188685
22_F,0.27318427256391026
11_V,0.2727143636378383
2_j,0.27242075884989553
28_J,0.2708104481103454
15_a,0.27049757688909637
12_M,0.2700973661246625
23_B,0.26937304223837644
24_A,0.2693184449692049
8_S,0.26920685185160503
27_y,0.269029533158286
13_N,0.26896861131347527
2_v,0.2672558460092597
11_K,0.26637712396997776
0_k,0.26569109567059906
17_E,0.2654858094671314
tfidf_44,0.26543003218443023
2_missing,0.2649822089465398
18_b,0.2645519348757445
4_x,0.2643806948125205
20_G,0.26389231440168526
2_G,0.2627090535262068
28_C,0.26263927549553423
13_R,0.261845444007394
9_W,0.2608889918575319
9_p,0.2606389099988609
9_o,0.26044376848404455
12_X,0.2603776437591435
11_C,0.26037568106552256
2_W,0.2603151708204747
8_r,0.259269005661118
3_j,0.25918861419274813
2_p,0.25899934178709383
18_l,0.2576093776961948
22_j,0.2574430072686456
13_g,0.2571949075524825
23_missing,0.25655178473190665
28_Z,0.256342549589494
1_r,0.25594473424800274
0_o,0.25592461617536755
22_Z,0.255918789920104
0_wrong input,0.2554303873679312
tfidf_11,0.2552214754362334
27_o,0.2552100132251685
8_Z,0.25358091791793036
tfidf_39,0.2532865173419566
13_c,0.25295694665935403
9_v,0.2518664611590482
1_d,0.25123891658068
15_E,0.24807453465932922
12_r,0.24731158560427371
24_k,0.2468657697252356
13_U,0.2462289816011929
6_J,0.24621824120049604
23_j,0.24605616218153475
18_I,0.2456364882931605
7_special,0.24527081792847108
5_B,0.2450539016268428
26_u,0.24475804388807013
11_h,0.24448289071435847
20_L,0.2443778347899727
15_H,0.243976951294573
22_b,0.24278230955388233
9_l,0.24226473088083733
8_c,0.24149132582244387
8_O,0.24064267615524532
28_p,0.24000769368110994
18_e,0.2399187626774637
8_t,0.23984385302603334
23_P,0.23827258495870135
27_x,0.2382082185782469
5_q,0.23794629905776243
2_i,0.2365578773902916
9_s,0.23636592347754914
8_G,0.23624847782776062
24_h,0.23446831165060655
8_v,0.234414568214278
7_upper,0.2343815586654983
11_U,0.23383446661654797
4_F,0.23373216385546883
22_r,0.2336662341546607
28_y,0.23334451991109664
9_missing,0.23320946084852667
9_e,0.2331478222915359
5_m,0.23295159228700968
11_l,0.23284376569294465
1_A,0.23280891739579773
17_X,0.2322970864019855
5_n,0.2316871441266056
1_b,0.23124819100211488
15_I,0.23088196944805586
24_L,0.23061901723325665
3_m,0.23004876976771518
5_a,0.22972106402282527
4_E,0.22912655832482112
12_o,0.2288578226085713
17_upper,0.22880392593445745
tfidf_48,0.22870859539853103
6_upper,0.22809834047856642
0_G,0.22798523414162036
2_a,0.22750910842675567
26_y,0.2274775918657456
7_l,0.2263225786057375
22_z,0.22613719380043715
11_G,0.2259763519613724
25_u,0.22529908034762436
24_e,0.2249820592205189
5_g,0.22465829544052177
21_z,0.22339248288552097
4_X,0.22150381620364937
tfidf_5,0.22102520957964641
8_H,0.2207735838760302
6_length,0.22070298999867535
7_x,0.22006714698740526
15_B,0.21990659427281545
15_k,0.2198435628728788
2_I,0.21850669052977242
12_I,0.21847105662549535
5_P,0.21846714302654
3_o,0.2179973079681742
3_Z,0.21719268312173623
18_W,0.217043932490535
0_X,0.2168999591580903
21_H,0.21677235478271356
22_language failed,0.21585299465506647
6_R,0.2155010086989942
25_wrong input,0.21548040699234552
0_t,0.21481924465088253
9_E,0.2147479949775659
21_w,0.214678549987404
11_W,0.21440263356098918
7_T,0.21435152081368203
15_g,0.21383785459453059
23_a,0.21322054460074202
24_d,0.2117760930249426
tfidf_82,0.2112189600007812
12_y,0.2109148376141389
13_B,0.2104206103791135
tfidf_38,0.21015361478432895
25_D,0.2101171836309655
1_D,0.2098222984888351
11_k,0.20971710727720203
4_y,0.20928756570500184
7_p,0.20925074300276977
21_upper,0.2092062061671411
11_v,0.20876524076534783
4_n,0.2087497678951936
tfidf_19,0.2086675175878678
4_i,0.20841031919780265
7_length,0.2082452987486376
18_r,0.20791519477128548
11_u,0.2078304168265225
15_y,0.2077422268680087
15_R,0.20769667314996443
23_t,0.20761160825184533
2_U,0.20740366684241723
tfidf_62,0.20688298749294717
8_u,0.20673484056195798
28_q,0.20662295833068162
15_K,0.20642651634574627
22_L,0.2059416700515053
28_M,0.20593073666568995
11_missing,0.20588442418141528
2_y,0.2056896899855263
19_length,0.2055337941486275
13_w,0.20488858249713113
18_c,0.20469255549088652
3_G,0.20463749657877656
12_h,0.20428261349765525
24_w,0.2040235160515661
1_upper,0.20398337572837352
4_I,0.20383009360165757
25_E,0.20367688227752412
8_s,0.20283952739849342
9_O,0.20275590625005557
14_missing,0.2026714704125524
26_P,0.2025963734434269
20_i,0.2025450582545888
6_f,0.20253742286841941
23_V,0.20249788143448325
6_z,0.2023147082952536
18_y,0.2019663800631725
3_g,0.20093166779145838
21_G,0.20087472469154
28_wrong input,0.20077063245316687
27_q,0.20011711406657268
27_d,0.19965505463042968
27_X,0.19958187113117545
24_f,0.19910062717524943
0_N,0.19908579601573756
5_y,0.198233552739819
27_p,0.19765085456281428
11_A,0.19745279199136556
17_g,0.19714361775453995
23_L,0.19655730834385862
7_n,0.19604485332333027
26_Y,0.19597149915580814
20_Z,0.1956515629105965
3_U,0.19535393525943148
2_special,0.1952780912869464
0_K,0.1949442174157079
0_q,0.1946938669460357
0_P,0.19417265697560304
20_x,0.19350444226293864
1_language failed,0.19329572302094558
1_Q,0.19302256058141185
3_W,0.19261011272226589
20_j,0.19257582761405287
22_l,0.19210141839580266
4_m,0.19179175102616022
24_Z,0.19147934789099433
6_P,0.1913220927497059
5_d,0.19129914140435497
15_h,0.1906619054660214
21_special,0.19054492453604882
25_p,0.19050654941682402
23_D,0.19040992993863734
13_upper,0.19040713812446505
13_S,0.18970019580995517
13_H,0.18967253545112317
3_J,0.18936204778500518
4_o,0.18920619585220638
28_a,0.1891379573592943
0_f,0.18901452032311328
2_n,0.18874912626855625
24_y,0.1887133400291792
23_k,0.18861639311024844
0_language failed,0.18861566600596746
7_B,0.1882653351252157
3_d,0.1881857095146709
7_f,0.18800295388223925
24_v,0.18797861751829986
18_q,0.18791253087493373
25_B,0.18745283206110053
3_r,0.18726519303644978
2_A,0.18691381533619109
25_a,0.1864278546635315
25_f,0.1863363747488409
11_E,0.1855330422816266
6_r,0.18549084174446842
4_K,0.1853647127025552
3_wrong input,0.18505387901617013
21_L,0.18445409730647183
23_H,0.18413107314719807
28_v,0.18384661452054554
28_I,0.18379195014797478
18_t,0.18373530801896085
1_G,0.1836348725040403
5_Z,0.18350697118442105
18_j,0.18302004134217295
12_w,0.18222767168473936
17_k,0.18201966281104806
23_o,0.18133819096013168
23_C,0.1812743905975177
28_Y,0.18071533503162301
5_x,0.1804539692236267
8_g,0.18042409848729973
23_s,0.17959396476842246
27_j,0.17938227878511084
21_d,0.17895475170240094
7_h,0.1788317309548519
3_p,0.17873006342963074
14_length,0.17867341462667893
21_O,0.17834680805934902
6_g,0.17795848136872602
24_F,0.17781655471550997
0_y,0.1776248994904813
21_N,0.17756378111700072
tfidf_47,0.1772697929979447
13_O,0.1770672540488642
23_A,0.17630711002865193
21_A,0.17600898106469956
15_d,0.17514999078671373
28_o,0.1747673528478034
17_N,0.17436163725205345
9_h,0.17422122936801931
2_K,0.17419127440379692
28_f,0.17382361695083132
8_j,0.17368449392576737
18_s,0.17352110326172696
22_P,0.17344259845815804
28_w,0.17309469912543066
23_d,0.1730286630133795
18_z,0.17297481539096674
8_q,0.1728501052827167
0_M,0.1728019869893
